CLASS,CODE, URL,CRN,TYPE,SECTION,TIME,DAY,LOCATION,INSTRUCTOR
DANC459,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/459,57150,Laboratory,A,01:00PM - 02:20PM,MW,103 905 W Nevada,"Simson, K"
DANC460,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/460,63410,Laboratory,A,11:00AM - 12:20PM,MWF,ARR 905 W Nevada,"Hook, S"
DANC465,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/465,40822,Laboratory,A,01:00PM - 02:50PM,MW,2500 Krannert Center for Perf Arts,"Chiaramonte, L
Emadian, E"
DANC466,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/466,40823,Laboratory,A,09:00AM - 10:20AM,TR,103 905 W Nevada,"O'Connor, T"
DANC467,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/467,40832,Laboratory,E,09:00AM - 10:20AM,MW,103 905 W Nevada,"Taylor, E"
DANC497,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/497,65254,Laboratory,BA,03:00PM - 04:20PM,T,109 907 1/2 W Nevada,"Nance, C"
DANC498,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/498,62045,Laboratory,A,03:00PM - 04:20PM,R,109 907 1/2 W Nevada,"Simson, K"
DANC499,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/499,31861,Laboratory,A,03:00PM - 04:20PM,T,109 907 1/2 W Nevada,"Simson, K"
DANC499,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/499,69883,Independent Study,LW,ARRANGED,n.a,n.a,
DANC520,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/520,60577,Laboratory,A,01:00PM - 02:50PM,TR,n.a,"O'Connor, T"
DANC531,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/531,31890,Independent Study,A,ARRANGED,n.a,n.a,"Hook, S
Monson, J
Oliver, C"
DANC550,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/550,66858,Independent Study,,ARRANGED,n.a,n.a,
DANC560,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/560,66859,Independent Study,,ARRANGED,n.a,n.a,
DANC598,DANC,https://courses.illinois.edu/schedule/2020/spring/DANC/598,48991,Laboratory,A,09:00AM - 10:20AM,TR,109 907 1/2 W Nevada,"Monson, J"
EALC120,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/120,34089,Discussion/ Recitation,AD1,01:00PM - 01:50PM,F,219 Gregory Hall,
EALC120,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/120,34090,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,315 Gregory Hall,
EALC120,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/120,34092,Discussion/ Recitation,AD3,04:00PM - 04:50PM,W,315 Gregory Hall,
EALC120,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/120,34094,Discussion/ Recitation,AD4,04:00PM - 04:50PM,W,221 Gregory Hall,
EALC120,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/120,34095,Discussion/ Recitation,AD5,11:00AM - 11:50AM,F,221 Gregory Hall,
EALC120,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/120,34096,Discussion/ Recitation,AD6,11:00AM - 11:50AM,F,315 Gregory Hall,
EALC120,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/120,34098,Lecture,AL1,11:00AM - 11:50AM,MW,213 Gregory Hall,"Fu, P"
EALC132,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/132,38004,Lecture-Discussion,A,02:00PM - 04:50PM,F,111 Gregory Hall,"Mayer, A"
EALC199,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/199,10596,Independent Study,,ARRANGED,n.a,n.a,
EALC220,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/220,40261,Lecture-Discussion,A,11:00AM - 12:20PM,TR,1066 Lincoln Hall,"Chow, K"
EALC227,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/227,52351,Lecture-Discussion,A,10:00AM - 10:50AM,MWF,108 English Building,"Wilson, R"
EALC230,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/230,70581,Lecture-Discussion,GP,12:30PM - 01:50PM,TR,205 Gregory Hall,"Persiani, G"
EALC250,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/250,46154,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,222 David Kinley Hall,"Wilson, R"
EALC250,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/250,46155,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,G18 Foreign Languages Building,"Wilson, R"
EALC250,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/250,46157,Discussion/ Recitation,AD5,01:00PM - 01:50PM,R,325 Gregory Hall,"Wilson, R"
EALC250,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/250,46164,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,222 David Kinley Hall,"Wilson, R"
EALC250,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/250,46121,Lecture,AL1,01:00PM - 01:50PM,MW,132 Bevier Hall,"Wilson, R"
EALC275,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/275,46131,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,G48 Foreign Languages Building,"Chen, J
Pu, Y"
EALC275,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/275,46141,Discussion/ Recitation,AD7,09:00AM - 09:50AM,F,G48 Foreign Languages Building,"Chen, J
Pu, Y"
EALC275,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/275,61647,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,1024 Foreign Languages Building,"Chen, J
Pu, Y"
EALC275,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/275,33152,Lecture-Discussion,AL,12:00PM - 12:50PM,MW,140 Burrill Hall,"Chen, J"
EALC287,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/287,43692,Lecture-Discussion,A,03:30PM - 04:50PM,TR,217 Gregory Hall,"Callahan, C"
EALC343,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/343,48801,Lecture-Discussion,A,12:30PM - 01:50PM,TR,223 David Kinley Hall,"Guo, X"
EALC361,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/361,70706,Lecture-Discussion,A,11:00AM - 12:20PM,TR,111 David Kinley Hall,"Shao, D"
EALC390,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/390,10597,Independent Study,,ARRANGED,n.a,n.a,
EALC398,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/398,68373,Lecture-Discussion,A1,03:30PM - 04:50PM,TR,310 David Kinley Hall,"Nagashima, D"
EALC398,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/398,69304,Lecture-Discussion,CC,02:00PM - 03:20PM,MW,1032 Foreign Languages Building,"Callahan, C"
EALC398,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/398,70397,Lecture-Discussion,CI2,02:00PM - 03:15PM,MW,G96 Foreign Languages Building,"Ha, J
Ritter, K"
EALC398,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/398,61666,Lecture,CIC,10:30AM - 11:50AM,TF,G96 Foreign Languages Building,"Ha, J
Ritter, K"
EALC398,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/398,69083,Lecture-Discussion,JC,03:30PM - 05:50PM,M,1026 Lincoln Hall,"Chen, J"
EALC403,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/403,40432,Lecture,A3,04:00PM - 05:20PM,MW,312 Art and Design Building,"Burkus-Chasson, A"
EALC403,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/403,40772,Lecture,G,04:00PM - 05:20PM,MW,312 Art and Design Building,"Burkus-Chasson, A"
EALC425,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/425,57113,Lecture-Discussion,A,03:00PM - 04:20PM,TR,1024 Foreign Languages Building,"Chow, K"
EALC430,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/430,40276,Lecture-Discussion,G4A,02:00PM - 03:20PM,TR,G18 Foreign Languages Building,"Packard, J"
EALC430,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/430,39278,Lecture-Discussion,U3A,02:00PM - 03:20PM,TR,G18 Foreign Languages Building,"Packard, J"
EALC466,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/466,66872,Lecture-Discussion,A3,02:00PM - 03:20PM,TR,221 Gregory Hall,"Tierney, R"
EALC466,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/466,66870,Lecture-Discussion,A4,02:00PM - 03:20PM,TR,221 Gregory Hall,"Tierney, R"
EALC476,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/476,43868,Lecture-Discussion,A3,02:00PM - 03:20PM,TR,G20 Foreign Languages Building,"Chow, K"
EALC476,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/476,33168,Lecture-Discussion,A4,02:00PM - 03:20PM,TR,G20 Foreign Languages Building,"Chow, K"
EALC488,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/488,57383,Lecture-Discussion,AM,03:00PM - 05:50PM,W,G48 Foreign Languages Building,"Mayer, A"
EALC490,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/490,10599,Independent Study,,ARRANGED,n.a,n.a,
EALC550,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/550,69093,Lecture-Discussion,CIC,ARRANGED,n.a,n.a,
EALC550,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/550,64293,Lecture-Discussion,CS,02:00PM - 03:20PM,TR,G48 Foreign Languages Building,"Shih, C"
EALC550,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/550,70596,Lecture-Discussion,GP,03:30PM - 04:50PM,TR,1032 Foreign Languages Building,"Persiani, G"
EALC550,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/550,69084,Lecture-Discussion,JC,03:30PM - 05:50PM,M,1026 Lincoln Hall,"Chen, J"
EALC550,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/550,70281,Lecture-Discussion,JM,02:00PM - 04:50PM,M,1024 Foreign Languages Building,"Martin, J"
EALC588,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/588,39229,Lecture-Discussion,AM1,03:00PM - 04:50PM,T,1134 Foreign Languages Building,"Mroz, A"
EALC588,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/588,57104,Lecture-Discussion,MB,03:00PM - 05:50PM,M,214 Davenport Hall,"Bowles, M"
EALC588,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/588,53508,Lecture-Discussion,MSB,02:00PM - 03:20PM,MW,1048 Foreign Languages Building,"Barlaz, M"
EALC590,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/590,10003,Independent Study,,ARRANGED,n.a,n.a,
EALC590,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/590,69750,Independent Study,CS,ARRANGED,n.a,n.a,"Shih, C"
EALC599,EALC,https://courses.illinois.edu/schedule/2020/spring/EALC/599,10007,Independent Study,,ARRANGED,n.a,n.a,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32463,Laboratory,AB0,09:00AM - 11:50AM,T,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32460,Laboratory,AB2,09:00AM - 11:50AM,R,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,52912,Laboratory,AB3,09:00AM - 11:50AM,F,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32470,Laboratory,AB4,12:00PM - 02:50PM,M,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,52914,Laboratory,AB5,12:00PM - 02:50PM,T,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,52910,Laboratory,AB6,12:00PM - 02:50PM,W,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32466,Laboratory,AB7,12:00PM - 02:50PM,R,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32461,Laboratory,AB8,12:00PM - 02:50PM,F,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,52913,Laboratory,AB9,03:00PM - 05:50PM,M,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32456,Laboratory,ABA,03:00PM - 05:50PM,T,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,52911,Laboratory,ABB,03:00PM - 05:50PM,W,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32467,Laboratory,ABC,03:00PM - 05:50PM,R,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32469,Laboratory,ABE,06:00PM - 08:50PM,M,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,63640,Laboratory,ABF,06:00PM - 08:50PM,W,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32464,Lecture,AL1,11:00AM - 11:50AM,MW,3013 Electrical & Computer Eng Bldg,"Choi, H
Schmitz, C"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32471,Lecture,AL2,10:00AM - 10:50AM,MW,1002 Electrical & Computer Eng Bldg,"Schmitz, C"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,52909,Lecture,AL3,02:00PM - 02:50PM,MW,1015 Electrical & Computer Eng Bldg,"Ravaioli, U
Schmitz, C"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,61723,Lecture,AL4,03:00PM - 03:50PM,MW,1002 Electrical & Computer Eng Bldg,"Schmitz, C
Zhao, Y"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,70759,Lecture,AL5,10:00AM - 10:50AM,MW,1002 Electrical & Computer Eng Bldg,"Schmitz, C"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,64690,Lecture,AL6,11:00AM - 11:50AM,MW,3013 Electrical & Computer Eng Bldg,"Choi, H
Schmitz, C"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32465,Lecture,AL7,02:00PM - 02:50PM,MW,1015 Electrical & Computer Eng Bldg,"Ravaioli, U
Schmitz, C"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,32462,Lecture,AL8,03:00PM - 03:50PM,MW,1002 Electrical & Computer Eng Bldg,"Schmitz, C
Zhao, Y"
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57693,Laboratory,BB0,09:00AM - 11:50AM,T,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57705,Laboratory,BB2,09:00AM - 11:50AM,R,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57707,Laboratory,BB3,09:00AM - 11:50AM,F,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57708,Laboratory,BB4,12:00PM - 02:50PM,M,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57709,Laboratory,BB5,12:00PM - 02:50PM,T,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57711,Laboratory,BB6,12:00PM - 02:50PM,W,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57713,Laboratory,BB7,12:00PM - 02:50PM,R,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57714,Laboratory,BB8,12:00PM - 02:50PM,F,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57725,Laboratory,BB9,03:00PM - 05:50PM,M,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57726,Laboratory,BBA,03:00PM - 05:50PM,T,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57728,Laboratory,BBB,03:00PM - 05:50PM,W,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57729,Laboratory,BBC,03:00PM - 05:50PM,R,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,57731,Laboratory,BBE,06:00PM - 08:50PM,M,1001 Electrical & Computer Eng Bldg,
ECE110,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/110,63641,Laboratory,BBF,06:00PM - 08:50PM,W,1001 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61612,Discussion/ Recitation,AB1,09:00AM - 09:50AM,R,1013 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61615,Discussion/ Recitation,AB2,10:00AM - 10:50AM,R,1013 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61616,Discussion/ Recitation,AB3,11:00AM - 11:50AM,R,4070 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61617,Discussion/ Recitation,AB4,12:00PM - 12:50PM,R,4070 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61618,Discussion/ Recitation,AB5,01:00PM - 01:50PM,R,3013 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61619,Discussion/ Recitation,AB6,02:00PM - 02:50PM,R,3081 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61622,Discussion/ Recitation,AB8,04:00PM - 04:50PM,R,3081 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61624,Discussion/ Recitation,ABA,02:00PM - 02:50PM,R,3020 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61626,Discussion/ Recitation,ABB,03:00PM - 03:50PM,R,3020 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61627,Discussion/ Recitation,ABC,04:00PM - 04:50PM,R,3020 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,64142,Discussion/ Recitation,ABD,05:00PM - 05:50PM,R,3020 Electrical & Computer Eng Bldg,
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,70763,Lecture,AL1,09:00AM - 09:50AM,MWF,1002 Electrical & Computer Eng Bldg,"Bhat, S"
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,63651,Lecture,AL2,01:00PM - 01:50PM,MWF,1015 Electrical & Computer Eng Bldg,"Aggarwal, A"
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,63652,Lecture,AL3,03:00PM - 03:50PM,MWF,1013 Electrical & Computer Eng Bldg,"Jones, D"
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,63653,Lecture,AL4,04:00PM - 04:50PM,MWF,1013 Electrical & Computer Eng Bldg,"Bhowmik, U"
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,66372,Lecture,AL5,01:00PM - 01:50PM,MWF,1015 Electrical & Computer Eng Bldg,"Aggarwal, A"
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,66373,Lecture,AL6,03:00PM - 03:50PM,MWF,1013 Electrical & Computer Eng Bldg,"Jones, D"
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,66371,Lecture,AL7,04:00PM - 04:50PM,MWF,1013 Electrical & Computer Eng Bldg,"Bhowmik, U"
ECE120,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/120,61606,Lecture,AL,09:00AM - 09:50AM,MWF,1002 Electrical & Computer Eng Bldg,"Bhat, S"
ECE199,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/199,64086,Discussion/ Recitation,110,10:00AM - 11:50AM,F,3015 Electrical & Computer Eng Bldg,"Schmitz, C"
ECE199,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/199,67644,Discussion/ Recitation,120,01:00PM - 02:50PM,T,3013 Electrical & Computer Eng Bldg,"Schmitz, C"
ECE200,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/200,32482,Lecture,SH,05:00PM - 06:50PM,W,1002 Electrical & Computer Eng Bldg,"Kudeki, E"
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65803,Laboratory,AB1,08:00AM - 09:50AM,M,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65804,Laboratory,AB2,10:00AM - 11:50AM,M,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65805,Laboratory,AB3,03:00PM - 04:50PM,M,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65806,Laboratory,AB4,05:00PM - 06:50PM,M,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65808,Laboratory,AB5,08:00AM - 09:50AM,W,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65809,Laboratory,AB6,10:00AM - 11:50AM,W,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65810,Laboratory,AB7,03:00PM - 04:50PM,W,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65811,Laboratory,AB8,05:00PM - 06:50PM,W,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65812,Laboratory,AB9,08:00AM - 09:50AM,R,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65813,Laboratory,ABA,05:00PM - 06:50PM,R,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65814,Laboratory,ABB,10:00AM - 11:50AM,F,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,65815,Laboratory,ABC,03:00PM - 04:50PM,F,4074 Electrical & Computer Eng Bldg,
ECE205,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/205,59020,Lecture,AL1,12:00PM - 12:50PM,MWF,1002 Electrical & Computer Eng Bldg,"Cheng, Z
Radhakrishnan, C"
ECE206,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/206,32485,Laboratory,F1,12:00PM - 01:50PM,M,4074 Electrical & Computer Eng Bldg,"Radhakrishnan, C"
ECE206,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/206,32487,Laboratory,F2,08:00AM - 09:50AM,T,4074 Electrical & Computer Eng Bldg,"Radhakrishnan, C"
ECE206,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/206,32489,Laboratory,F3,12:00PM - 01:50PM,W,4074 Electrical & Computer Eng Bldg,"Radhakrishnan, C"
ECE206,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/206,32491,Laboratory,F4,08:00AM - 09:50AM,F,4074 Electrical & Computer Eng Bldg,"Radhakrishnan, C"
ECE206,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/206,32493,Laboratory,F5,12:00PM - 01:50PM,F,4074 Electrical & Computer Eng Bldg,"Radhakrishnan, C"
ECE206,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/206,32495,Laboratory,F6,07:00PM - 08:50PM,M,4074 Electrical & Computer Eng Bldg,"Radhakrishnan, C"
ECE206,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/206,32497,Laboratory,F7,07:00PM - 08:50PM,W,4074 Electrical & Computer Eng Bldg,"Radhakrishnan, C"
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32534,Laboratory,ABA,10:00AM - 11:50AM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32535,Laboratory,ABB,10:00AM - 11:50AM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32536,Laboratory,ABC,12:00PM - 01:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32537,Laboratory,ABD,12:00PM - 01:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32538,Laboratory,ABE,02:00PM - 03:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32539,Laboratory,ABF,02:00PM - 03:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32541,Laboratory,ABG,04:00PM - 05:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32561,Laboratory,ABH,04:00PM - 05:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32564,Laboratory,ABI,06:00PM - 07:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32566,Laboratory,ABJ,06:00PM - 07:50PM,M,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32571,Laboratory,ABK,06:00PM - 07:50PM,W,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32575,Laboratory,ABL,06:00PM - 07:50PM,W,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,55640,Laboratory,ABM,06:00PM - 07:50PM,R,4072 Electrical & Computer Eng Bldg,
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32505,Lecture,AL1,11:00AM - 11:50AM,MTWF,1013 Electrical & Computer Eng Bldg,"Alvarez, J"
ECE210,ECE,https://courses.illinois.edu/schedule/2020/spring/ECE/210,32532,Lecture,AL2,01:00PM - 01:50PM,MTWF,1013 Electrical & Computer Eng Bldg,"Basar, T"
