CODE, URL,,,CODE, URL,CRN,Type,Section,Time,Day,Location,Instructor
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/469,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/355,57160,Lecture-Discussion,A,100010:00AM - 11:20AM,MW,103 1207 W Oregon,"Dowling, J"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/474,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/357,70259,Lecture-Discussion,A,100010:00AM - 11:20AM,MW,n.a,"Coyoca, W"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/497,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/465,48488,Lecture-Discussion,G,153003:30PM - 05:50PM,M,133 1207 W Oregon,"Cacho, L"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/498,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/465,48487,Lecture-Discussion,U,153003:30PM - 05:50PM,M,133 1207 W Oregon,"Cacho, L"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/594,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/479,51464,Lecture-Discussion,G,143002:30PM - 04:50PM,M,103 1207 W Oregon,"Lira, N"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/597,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/479,51463,Lecture-Discussion,U,143002:30PM - 04:50PM,M,103 1207 W Oregon,"Lira, N"
ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/599,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/561,52839,Lecture-Discussion,A,140002:00PM - 04:50PM,W,n.a,"Rana, J"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/199,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/590,46471,Lecture-Discussion,AB,130001:00PM - 03:50PM,T,n.a,"Beauchamp, T
Paik, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/200,,,AAS,https://courses.illinois.edu/schedule/2020/spring/AAS/590,65842,Lecture-Discussion,SR,153003:30PM - 05:50PM,T,133 1207 W Oregon,"Ruiz, S"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/141,54768,Lecture-DiscussionLecture,MGDMGD,100010:00AM - 10:50AM100010:00AM - 10:50AM,FMW,204 Agricultural Engr Sciences Bld204 Agricultural Engr Sciences Bld,"Bhalerao, KBhalerao, K"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/199,10141,Independent Study,,0000ARRANGED,n.a,n.a,
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/290,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/199,68015,Discussion/ Recitation,AMB,130001:00PM - 01:50PM,T,242 Agricultural Engr Sciences Bld,"Boone, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/301,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/225,57090,Laboratory,AB1,080008:00AM - 09:50AM,F,242 Agricultural Engr Sciences Bld,"Zhang, Y"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/302,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/225,57091,Laboratory,AB2,100010:00AM - 11:50AM,F,242 Agricultural Engr Sciences Bld,"Zhang, Y"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/303,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/225,57089,Lecture-Discussion,AE1,083008:30AM - 09:50AM,TR,204 Agricultural Engr Sciences Bld,"Zhang, Y"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/304,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/226,57087,Laboratory,AB1,080008:00AM - 09:50AM,F,242 Agricultural Engr Sciences Bld,"Singh, V"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/312,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/226,57088,Laboratory,AB2,100010:00AM - 11:50AM,F,242 Agricultural Engr Sciences Bld,"Singh, V"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/398,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/226,57086,Lecture-Discussion,AE1,083008:30AM - 09:50AM,TR,204 Agricultural Engr Sciences Bld,"Singh, V"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/405,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/397,47262,Independent Study,,0000ARRANGED,n.a,n.a,
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/410,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/425,39995,Laboratory,AB1,130001:00PM - 02:50PM,F,248 Agricultural Engr Sciences Bld,"Grift, T"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/415,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/425,56252,Laboratory,AB2,150003:00PM - 04:50PM,F,248 Agricultural Engr Sciences Bld,"Grift, T"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/451,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/425,39997,Lecture-Discussion,AE1,093009:30AM - 10:50AM,TR,272 Agricultural Engr Sciences Bld,"Grift, T"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/499,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/440,31585,Laboratory,AB1,120012:00PM - 01:50PM,W,M205 Turner Hall,"Lipka, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/500,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/440,31587,Laboratory,AB2,140002:00PM - 03:50PM,W,M205 Turner Hall,"Lipka, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/501,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/440,60974,Laboratory,AB3,180006:00PM - 07:50PM,W,M205 Turner Hall,"Lipka, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/502,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/440,31591,Lecture,AL1,153003:30PM - 04:50PM,TR,1090 Lincoln Hall,"Lipka, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/503,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/446,51916,LaboratoryLecture,KB1KB1,150003:00PM - 04:50PM150003:00PM - 03:50PM,WMF,242 Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld,"Bhalerao, KBhalerao, K"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/504,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/446,51917,LaboratoryLecture,KB2KB2,150003:00PM - 04:50PM150003:00PM - 03:50PM,WMF,242 Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld,"Bhalerao, KBhalerao, K"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/506,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/454,67702,Lecture-Discussion,MLC,090009:00AM - 10:15AM,MW,n.a,"Chu, M"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/507,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/456,29875,LaboratoryLecture,G4G4,150003:00PM - 04:50PM150003:00PM - 04:50PM,MW,208 Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld,"Bhattarai, R"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/510,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/456,40185,LaboratoryLecture,U3U3,150003:00PM - 04:50PM150003:00PM - 04:50PM,MW,208 Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld,"Bhattarai, R"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/512,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/469,70549,Discussion/ RecitationLecture-Discussion,APWAPW,0000ARRANGED123012:30PM - 01:50PM,n.aTR,n.a204 Agricultural Engr Sciences Bld,"Witmer, AWitmer, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/515,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/474,66784,Online,AG2,120012:00PM - 12:50PM,M,n.a,"Green-Miller, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/517,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/497,61168,Independent Study,,0000ARRANGED,n.a,n.a,
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/518,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/498,10169,Independent Study,,0000ARRANGED,n.a,n.a,
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/550,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/498,69046,Lecture-Discussion,AW1,093009:30AM - 10:50AM,TR,n.a,"Witmer, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/552,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/498,69527,Lecture-Discussion,AW2,093009:30AM - 10:50AM,TR,n.a,"Witmer, A"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/554,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/498,68204,Lecture-Discussion,CH1,160004:00PM - 05:50PM,T,n.a,"Harbourt, C"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/571,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/498,68117,Lecture-DiscussionTravel,DRPDRP,153003:30PM - 04:50PM0000ARRANGED,TRn.a,2101 Everitt Laboratoryn.a,"Rodriguez, LRodriguez, L"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/574,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/498,69694,Lecture-Discussion,XW3,0000ARRANGED,n.a,204 Agricultural Engr Sciences Bld,"Wang, X"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/575,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/594,45390,Lecture-Discussion,A,120012:00PM - 12:50PM,F,204 Agricultural Engr Sciences Bld,"Raveendran Nair, G"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/576,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/597,10174,Independent Study,,0000ARRANGED,n.a,n.a,
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/577,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/599,10177,Independent Study,,0000ARRANGED,n.a,n.a,
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/593,,,ABE,https://courses.illinois.edu/schedule/2020/spring/ABE/599,43991,Lecture,A,120012:00PM - 12:50PM,F,n.a,"Takhar, P"
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/594,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/199,10033,Independent Study,,0000ARRANGED,n.a,n.a,
ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/599,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/199,70231,Lecture-Discussion,TAX,180006:00PM - 09:50PM,TR,152 Wohlers Hall,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/100,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/199,70517,Lecture-Discussion,TD,100010:00AM - 10:50AM,F,3003 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/161,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/199,70634,Lecture-Discussion,TMG,180006:00PM - 09:50PM,TR,166 Wohlers Hall,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/199,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/200,45418,Online,OL,0000ARRANGED,n.a,n.a,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/210,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/200,30111,Lecture-Discussion,TM,170005:00PM - 06:20PM,MW,2011 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/231,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,30112,Discussion/ Recitation,AD1,080008:00AM - 08:50AM,F,2007 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/232,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,30113,Discussion/ Recitation,AD2,090009:00AM - 09:50AM,F,2007 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/240,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,30114,Discussion/ Recitation,AD3,090009:00AM - 09:50AM,F,2011 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/251,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,30115,Discussion/ Recitation,AD4,120012:00PM - 12:50PM,F,2007 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/254,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,30116,Discussion/ Recitation,AD5,130001:00PM - 01:50PM,F,2007 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/255,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,30117,Discussion/ Recitation,AD6,140002:00PM - 02:50PM,F,2007 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/261,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,45631,Discussion/ Recitation,AD7,100010:00AM - 10:50AM,F,2007 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/262,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,68828,Discussion/ Recitation,AD8,100010:00AM - 10:50AM,F,2063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/264,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,68829,Discussion/ Recitation,AD9,110011:00AM - 11:50AM,F,2063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/270,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,68830,Discussion/ Recitation,ADA,120012:00PM - 12:50PM,F,2063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/291,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,68831,Discussion/ Recitation,ADB,130001:00PM - 01:50PM,F,2057 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/293,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,70222,Discussion/ Recitation,ADC,110011:00AM - 11:50AM,F,2007 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/294,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,30118,Lecture,AL1,123012:30PM - 01:50PM,TR,141 Wohlers Hall,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/295,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,68539,Lecture,AL2,110011:00AM - 12:20PM,TR,1001 Business Instructional Fac,
