CODE, URL,,,CODE, URL,CRN,Type,Section,Time,Day,Location,Instructor
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/415,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/102,63231,Laboratory,AB2,160004:00PM - 05:15PM,W,G27 Foreign Languages Building,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/416,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/102,63232,Laboratory,AB3,160004:00PM - 05:15PM,R,G27 Foreign Languages Building,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/417,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/102,66601,Laboratory,AB4,173005:30PM - 06:45PM,T,G27 Foreign Languages Building,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/418,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/102,66603,Laboratory,AB5,173005:30PM - 06:45PM,W,G27 Foreign Languages Building,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/425,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/102,66605,Laboratory,AB6,173005:30PM - 06:45PM,R,G27 Foreign Languages Building,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/432,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/102,63225,Lecture,AL1,090009:00AM - 09:50AM,MWF,2079 Natural History Building,"Hopping, D"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/441,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31128,Lecture,AL2,160004:00PM - 05:30PM,M,THEAT Lincoln Hall,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/442,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31145,Laboratory-Discussion,AYB,110011:00AM - 12:20PM,W,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/444,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31134,Laboratory-Discussion,AYC,183006:30PM - 07:50PM,M,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/446,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31131,Laboratory-Discussion,AYD,123012:30PM - 01:50PM,T,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/447,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31132,Laboratory-Discussion,AYE,140002:00PM - 03:20PM,T,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/448,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31136,Laboratory-Discussion,AYG,153003:30PM - 04:50PM,T,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/450,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31137,Laboratory-Discussion,AYH,170005:00PM - 06:20PM,T,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/453,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31138,Laboratory-Discussion,AYI,183006:30PM - 07:50PM,T,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/461,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31139,Laboratory-Discussion,AYJ,123012:30PM - 01:50PM,W,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/463,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31140,Laboratory-Discussion,AYK,140002:00PM - 03:20PM,W,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/464,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31141,Laboratory-Discussion,AYL,153003:30PM - 04:50PM,W,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/473,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31142,Laboratory-Discussion,AYM,170005:00PM - 06:20PM,W,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/481,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/105,31147,Laboratory-Discussion,AYP,183006:30PM - 07:50PM,W,101 901 W Oregon,"Zilles, C"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/482,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70340,Lecture,AL1,120012:00PM - 12:50PM,MWF,THEAT Lincoln Hall,"Fagen-Ulmschneider, W
Flanagan, K"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/484,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70341,Laboratory-Discussion,AYA,140002:00PM - 03:50PM,W,1065 Lincoln Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/489,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70342,Laboratory-Discussion,AYB,140002:00PM - 03:50PM,W,140 Henry Administration Bldg,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/490,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70343,Laboratory-Discussion,AYC,160004:00PM - 05:50PM,W,1065 Lincoln Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/492,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70344,Laboratory-Discussion,AYD,160004:00PM - 05:50PM,W,G17 Foreign Languages Building,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/496,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70345,Laboratory-Discussion,AYE,080008:00AM - 09:50AM,F,1065 Lincoln Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/499,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70346,Laboratory-Discussion,AYF,080008:00AM - 09:50AM,F,137 Henry Administration Bldg,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/500,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70347,Laboratory-Discussion,AYG,100010:00AM - 11:50AM,F,1065 Lincoln Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/503,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70348,Laboratory-Discussion,AYH,100010:00AM - 11:50AM,F,136 Burrill Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/511,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70349,Laboratory-Discussion,AYI,140002:00PM - 03:50PM,F,1065 Lincoln Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/519,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70350,Laboratory-Discussion,AYJ,140002:00PM - 03:50PM,F,136 Burrill Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/525,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70351,Laboratory-Discussion,AYK,160004:00PM - 05:50PM,F,1065 Lincoln Hall,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/530,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/107,70352,Laboratory-Discussion,AYL,160004:00PM - 05:50PM,F,G27 Foreign Languages Building,
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/532,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31155,Lecture,AL2,100010:00AM - 10:50AM,MWF,THEAT Lincoln Hall,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/540,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31152,Lecture,ALP,100010:00AM - 10:50AM,MWF,THEAT Lincoln Hall,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/541,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31157,Laboratory-Discussion,AYA,090009:00AM - 09:50AM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/545,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31159,Laboratory-Discussion,AYB,110011:00AM - 11:50AM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/553,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31160,Laboratory-Discussion,AYC,130001:00PM - 01:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/561,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31163,Laboratory-Discussion,AYD,150003:00PM - 03:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/585,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31176,Laboratory-Discussion,AYE,170005:00PM - 05:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/593,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31177,Laboratory-Discussion,AYF,180006:00PM - 06:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/595,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31168,Laboratory-Discussion,AYH,170005:00PM - 05:50PM,T,1111 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/597,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31170,Laboratory-Discussion,AYI,190007:00PM - 07:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MATH,https://courses.illinois.edu/schedule/2020/spring/MATH/599,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31172,Laboratory-Discussion,AYJ,180006:00PM - 06:50PM,T,1111 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/503,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,31174,Laboratory-Discussion,AYK,200008:00PM - 08:50PM,T,1111 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/504,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,62256,Laboratory-Discussion,AYM,120012:00PM - 12:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/530,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,62257,Laboratory-Discussion,AYN,100010:00AM - 10:50AM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/531,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,62258,Laboratory-Discussion,AYO,160004:00PM - 04:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/541,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,62259,Laboratory-Discussion,AYP,140002:00PM - 02:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/546,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,62262,Laboratory-Discussion,AYS,200008:00PM - 08:50PM,T,0403 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/547,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/125,62264,Laboratory-Discussion,AYT,190007:00PM - 07:50PM,T,1111 Siebel Center for Comp Sci,"Challen, G"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/551,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/126,65120,Lecture-Discussion,SD1,140002:00PM - 03:15PM,TR,1320 Digital Computer Laboratory,"Woodley, M"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/561,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/126,65684,Lecture-Discussion,SD2,110011:00AM - 12:15PM,TR,1320 Digital Computer Laboratory,"Woodley, M"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/590,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/126,70863,Lecture-Discussion,SE1,140002:00PM - 03:15PM,TR,1320 Digital Computer Laboratory,"Woodley, M"
MBA,https://courses.illinois.edu/schedule/2020/spring/MBA/591,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/126,70864,Lecture-Discussion,SE2,110011:00AM - 12:15PM,TR,1320 Digital Computer Laboratory,"Woodley, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/100,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,31187,Discussion/ Recitation,ADA,100010:00AM - 10:50AM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/101,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,48263,Discussion/ Recitation,ADB,110011:00AM - 11:50AM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/150,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,48264,Discussion/ Recitation,ADC,120012:00PM - 12:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/151,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,57329,Discussion/ Recitation,ADD,130001:00PM - 01:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/198,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,57330,Discussion/ Recitation,ADE,140002:00PM - 02:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/199,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,57446,Discussion/ Recitation,ADF,150003:00PM - 03:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/246,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,48265,Discussion/ Recitation,ADG,160004:00PM - 04:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/247,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,61915,Discussion/ Recitation,ADH,170005:00PM - 05:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/250,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,61916,Discussion/ Recitation,ADI,180006:00PM - 06:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/251,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,61917,Discussion/ Recitation,ADJ,090009:00AM - 09:50AM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/252,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,65173,Discussion/ Recitation,ADK,190007:00PM - 07:50PM,F,1111 Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/253,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,39311,Lecture,AL1,093009:30AM - 10:45AM,TR,1002 Electrical & Computer Eng Bldg,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/290,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,61102,Lecture,ALP,093009:30AM - 10:45AM,TR,1002 Electrical & Computer Eng Bldg,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/297,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,48266,Discussion/ Recitation,BDA,130001:00PM - 01:50PM,R,1111 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/298,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,48267,Discussion/ Recitation,BDB,140002:00PM - 02:50PM,R,1111 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/299,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,50441,Discussion/ Recitation,BDC,150003:00PM - 03:50PM,R,1111 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/300,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,50442,Discussion/ Recitation,BDD,160004:00PM - 04:50PM,R,1111 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/301,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,51087,Discussion/ Recitation,BDE,170005:00PM - 05:50PM,R,1111 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/317,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,51089,Discussion/ Recitation,BDF,180006:00PM - 06:50PM,R,1111 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/320,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,50094,Lecture,BL2,110011:00AM - 12:15PM,TR,1404 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/354,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/173,50093,Lecture,BLR,110011:00AM - 12:15PM,TR,1404 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/364,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/196,31193,Lecture-Discussion,25,190007:00PM - 07:50PM,T,0216 Siebel Center for Comp Sci,"Challen, G"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/402,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/196,31195,Lecture-Discussion,73,0000ARRANGED,n.a,ARR Siebel Center for Comp Sci,"Fleck, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/406,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/199,68270,Discussion/ Recitation,25,140002:00PM - 03:15PM,WF,0216 Siebel Center for Comp Sci,"Challen, G"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/410,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/199,68271,Discussion/ Recitation,196,0000ARRANGED,n.a,n.a,"Challen, G"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/429,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/199,61831,Lecture-Discussion,205,110011:00AM - 12:20PM,TR,1105 Siebel Center for Comp Sci,
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/432,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/199,63080,Lecture,EMP,170005:00PM - 06:50PM,R,0216 Siebel Center for Comp Sci,"Challen, G"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/434,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/199,70000,Lecture,PY1,130001:00PM - 02:20PM,W,2101 Everitt Laboratory,"Silva, M"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/442,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,31205,Lecture-Discussion,AL1,110011:00AM - 11:50AM,M,1404 Siebel Center for Comp Sci,"Asplund, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/446,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,31206,Discussion/ Recitation,AYA,130001:00PM - 01:50PM,M,1105 Siebel Center for Comp Sci,"Asplund, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/450,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,39312,Discussion/ Recitation,AYB,140002:00PM - 02:50PM,M,1105 Siebel Center for Comp Sci,"Asplund, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/458,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,39313,Discussion/ Recitation,AYC,150003:00PM - 03:50PM,M,1105 Siebel Center for Comp Sci,"Asplund, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/462,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,63350,Discussion/ Recitation,AYD,160004:00PM - 04:50PM,M,1105 Siebel Center for Comp Sci,"Asplund, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/465,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,63351,Discussion/ Recitation,AYE,090009:00AM - 09:50AM,T,1105 Siebel Center for Comp Sci,"Asplund, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/492,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,63352,Discussion/ Recitation,AYF,100010:00AM - 10:50AM,T,1105 Siebel Center for Comp Sci,"Asplund, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/493,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/210,69452,Online,CSP,0000ARRANGED,n.a,n.a,"Winter, G"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/511,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31208,Lecture,AL1,110011:00AM - 11:50AM,MWF,1002 Electrical & Computer Eng Bldg,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/529,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31213,Lecture,AL2,140002:00PM - 02:50PM,MWF,1002 Electrical & Computer Eng Bldg,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/530,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,59777,Lecture,ALP,110011:00AM - 11:50AM,MWF,1002 Electrical & Computer Eng Bldg,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/539,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,70578,Lecture,ALR,140002:00PM - 02:50PM,MWF,1002 Electrical & Computer Eng Bldg,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/543,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31218,Laboratory-Discussion,AYB,190007:00PM - 08:50PM,R,1111 Siebel Center for Comp Sci,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/553,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31222,Laboratory-Discussion,AYC,150003:00PM - 04:50PM,W,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/571,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31225,Laboratory-Discussion,AYD,170005:00PM - 06:50PM,W,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/581,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31227,Laboratory-Discussion,AYE,190007:00PM - 08:50PM,W,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/582,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31229,Laboratory-Discussion,AYF,090009:00AM - 10:50AM,R,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/583,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31231,Laboratory-Discussion,AYG,110011:00AM - 12:50PM,R,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MCB,https://courses.illinois.edu/schedule/2020/spring/MCB/585,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31234,Laboratory-Discussion,AYH,130001:00PM - 02:50PM,R,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDIA,https://courses.illinois.edu/schedule/2020/spring/MDIA/223,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31236,Laboratory-Discussion,AYI,150003:00PM - 04:50PM,R,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDIA,https://courses.illinois.edu/schedule/2020/spring/MDIA/299,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31239,Laboratory-Discussion,AYJ,170005:00PM - 06:50PM,R,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDIA,https://courses.illinois.edu/schedule/2020/spring/MDIA/390,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,56809,Laboratory-Discussion,AYK,190007:00PM - 08:50PM,R,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDIA,https://courses.illinois.edu/schedule/2020/spring/MDIA/525,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,56810,Laboratory-Discussion,AYL,090009:00AM - 10:50AM,R,1105 Siebel Center for Comp Sci,"Evans, G
He, J"
MDIA,https://courses.illinois.edu/schedule/2020/spring/MDIA/572,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,56811,Laboratory-Discussion,AYM,090009:00AM - 10:50AM,F,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDIA,https://courses.illinois.edu/schedule/2020/spring/MDIA/590,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,60535,Laboratory-Discussion,AYN,150003:00PM - 04:50PM,W,1111 Siebel Center for Comp Sci,"Evans, G
He, J"
MDIA,https://courses.illinois.edu/schedule/2020/spring/MDIA/599,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,31216,Laboratory-Discussion,AYO,170005:00PM - 06:50PM,W,1111 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/201,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,60536,Laboratory-Discussion,AYP,190007:00PM - 08:50PM,W,1111 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/216,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,60537,Laboratory-Discussion,AYQ,090009:00AM - 10:50AM,F,0218 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/245,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,61000,Laboratory-Discussion,AYR,170005:00PM - 06:50PM,R,0218 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/413,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,61001,Laboratory-Discussion,AYS,110011:00AM - 12:50PM,F,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/440,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,66120,Laboratory-Discussion,AYT,130001:00PM - 02:50PM,F,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/500,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,59778,Laboratory-Discussion,AYU,150003:00PM - 04:50PM,F,0224 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/505,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,70848,Laboratory-Discussion,AYX,110011:00AM - 12:50PM,F,0218 Siebel Center for Comp Sci,"Evans, G
He, J"
MDVL,https://courses.illinois.edu/schedule/2020/spring/MDVL/514,,,CS,https://courses.illinois.edu/schedule/2020/spring/CS/225,70849,Laboratory-Discussion,AYY,130001:00PM - 02:50PM,F,0218 Siebel Center for Comp Sci,"Evans, G
He, J"
